date,price
7/15/2006,30.25
8/15/2006,29.54
9/15/2006,29.92
10/15/2006,29.66
11/15/2006,31.78
12/15/2006,34.32
1/15/2007,34.5
2/15/2007,36.38
3/15/2007,34.29
4/15/2007,32.83
5/15/2007,34.19
6/15/2007,35.76
7/15/2007,36.36
8/15/2007,37.1
9/15/2007,37.63
10/15/2007,37.88
11/15/2007,47.5
12/15/2007,54.04
1/15/2008,57.41
2/15/2008,62.73
3/15/2008,62.73
4/15/2008,65.81
5/15/2008,65
6/15/2008,66.05
7/15/2008,62.6
8/15/2008,62.22
9/15/2008,60.93
10/15/2008,61.55
11/15/2008,61.69
12/15/2008,63.94
1/15/2009,64.62
2/15/2009,65
3/15/2009,61.01
4/15/2009,57.72
5/15/2009,60.06
6/15/2009,62.11
7/15/2009,60.92
8/15/2009,61.11
9/15/2009,60.55
10/15/2009,61.52
11/15/2009,62.56
12/15/2009,63.19
1/15/2010,65.93
2/15/2010,62.2
3/15/2010,52.77
4/15/2010,52.09
5/15/2010,52.15
6/15/2010,51.81
7/15/2010,49.45
8/15/2010,47.38
9/15/2010,48.45
10/15/2010,53.3
11/15/2010,56.62
12/15/2010,57.89
1/15/2011,56.52
2/15/2011,59.18
3/15/2011,59.23
4/15/2011,58.09
5/15/2011,58.24
6/15/2011,57.44
7/15/2011,56.42
8/15/2011,54.91
9/15/2011,52.16
10/15/2011,54.27
11/15/2011,56
12/15/2011,58.06
1/15/2012,57.95
2/15/2012,55.49
3/15/2012,54.24
4/15/2012,52.39
5/15/2012,51.87
6/15/2012,52.42
7/15/2012,56.89
8/15/2012,56.33
9/15/2012,58.37
10/15/2012,59.22
11/15/2012,59.82
12/15/2012,60.58
1/15/2013,60.98
2/15/2013,60.46
3/15/2013,58.91
4/15/2013,58.19
5/15/2013,59.48
6/15/2013,59.52
7/15/2013,58.88
8/15/2013,57.79
9/15/2013,57.85
10/15/2013,59.38
11/15/2013,59.49
12/15/2013,60.44
1/15/2014,64.89
2/15/2014,67.18
3/15/2014,67.58
4/15/2014,69.91
5/15/2014,67.61
6/15/2014,68.44
7/15/2014,68.68
8/15/2014,72.9
9/15/2014,78.56
10/15/2014,78.78
11/15/2014,78.67
12/15/2014,78.19
1/15/2015,76.17
2/15/2015,75.53
3/15/2015,73.41
4/15/2015,70.12
5/15/2015,70.24
6/15/2015,70.11
7/15/2015,68.64
8/15/2015,64.88
9/15/2015,63.76
10/15/2015,64.8
11/15/2015,66.47
12/15/2015,70.58
1/15/2016,72.65
2/15/2016,69.49
3/15/2016,64.86
4/15/2016,67.04
5/15/2016,69.48
6/15/2016,70.73
7/15/2016,70.56
8/15/2016,69.67
9/15/2016,70.15
10/15/2016,74.05
11/15/2016,78.19
12/15/2016,88.56
1/15/2017,93.32
2/15/2017,88.06
3/15/2017,76.61
4/15/2017,77.38
5/15/2017,79.72
6/15/2017,82.89
7/15/2017,83.83
8/15/2017,82.65
9/15/2017,83.42
10/15/2017,84.87
11/15/2017,85.02
12/15/2017,85.89
1/15/2018,86.71
2/15/2018,81.06
3/15/2018,81.59
4/15/2018,82.42
5/15/2018,82.12
6/15/2018,83.78
7/15/2018,81.85
8/15/2018,79.65
9/15/2018,82.07
10/15/2018,84.17
11/15/2018,86.63
12/15/2018,88.16
1/15/2019,89.71
2/15/2019,87.29
3/15/2019,84.13
4/15/2019,81.89
5/15/2019,85.42
6/15/2019,86.4
7/15/2019,86.22
8/15/2019,86.54
9/15/2019,88.09
10/15/2019,92.44
11/15/2019,98.22
12/15/2019,105.55
1/15/2020,106.35
2/15/2020,101.82
3/15/2020,100.13
4/15/2020,98.13
5/15/2020,100.67
6/15/2020,97.8
7/15/2020,97.89
8/15/2020,96.27
9/15/2020,96.75
10/15/2020,98.42
11/15/2020,98.34
12/15/2020,101.5
1/15/2021,104.08
2/15/2021,102.61
3/15/2021,102.71
4/15/2021,102.96
5/15/2021,111.12
6/15/2021,113.69
7/15/2021,112
8/15/2021,107
9/15/2021,103
10/15/2021,114
11/15/2021,132
12/15/2021,131.66
1/15/2022,158.48
2/15/2022,161.51
3/15/2022,169.24
4/15/2022,206.17
5/15/2022,216.26
6/15/2022,227.52
